id;fecha;perfil;funcionalidad;alta;editar;activar_inact;consulta;usuario;fecha_mod
1;2023-03-22;política Blanco;Instituciones;HDD;alto Práctico;impactful action-items estructura;Hogar Sabroso;Portugal;2023-03-22
2;2023-03-22;ADP País Navidad;Auditoria;Mesa THX;Croacia Dominican Gorro;estatica panel;Joyería FTP calculate;Verde;2023-03-22
3;2023-03-22;Morado Nepalese;ConsultaCFDI;Salud backing;hard;Inteligente Región SMS;withdrawal Cine;heurística Juguetería;2023-03-21
4;2023-03-22;generating application firewall;Reportes;Madera Rial HDD;Salchichas Mascotas synergies;Fantástico HDD;Buckinghamshire Usabilidad Portugal;bluetooth Navarra Práctico;2023-03-22
5;2023-03-22;infrastructures up Web;Configuracion;Guapo La Ergonómico;robust jerarquía Cine;heurística deposit back-end;online Dong wireless;sistémica Pantalones;2023-03-22
6;2023-03-22;Monte;Seguridad;Práctico;redundant Open-source;Cambridgeshire Ergonómico;Granito;Monte;2023-03-22
7;2023-03-22;generación Sincronizado Genérico;Reportes;Hogar;Acero Metal Interacciones;misión Market;servidor;Electrónica iterate Terrenos;2023-03-22
8;2023-03-22;harness Ergonómico program;EnvioFTP_Notificaciones;Oficial 24/7;sistema Hormigon;Verde;Amarillo Chilean invoice;Inteligente Diseñador;2023-03-22
9;2023-03-22;Parafarmacia Cambridgeshire cross-platform;CancelacionRecibos;Enfocado Metal;Comunidad withdrawal;turn-key;Georgia;Hormigon;2023-03-22
10;2023-03-22;Programa;Instituciones;Decoración Dinánmico;hard transmitting e-markets;Relacciones vía;Música Indonesia;open-source up Afganistán;2023-03-22
